QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
1x; Curse of Inertia; Commander 2013 Edition; ; 3; 2U; 1; 0; 0; U; 0.31968; Enchantment - Aura Curse; "Enchant player
Whenever a player attacks enchanted player with one or more creatures, that attacking player may tap or untap target permanent of their choice."; "• A Curse spell targets the player it will enchant like any other Aura spell, and a Curse stays on the battlefield like any other Aura. If the enchanted player gains protection from the Curse's color (or any other characteristic the Curse has), the Curse will be put into its owner's graveyard.
• Each of the Curses can be attached to any player, including the player who cast the Curse.
• Curse is an enchantment type, not a creature type (or any other kind of subtype).
• The ability won't trigger when a creature attacks a planeswalker controlled by the enchanted player.
• The Curse subtype has no inherent rules meaning, but two cards in the Innistrad set (Bitterheart Witch and Witchbane Orb) refer to Curses.
• Curse of Inertia's ability will trigger only once per attacking player per combat phase, no matter how many creatures that player attacks with.
• Even though the attacking player chooses the target of the ability, the ability is still controlled by the player who controls Curse of Inertia. Notably, a creature with hexproof controlled by the player who controls Curse of Inertia could be chosen, even though another player may be choosing the target."
1x; Fool's Demise; Commander 2014; ; 5; 4U; 1; 0; 0; U; 0.31968; Enchantment - Aura; "Enchant creature
When enchanted creature dies, return that card to the battlefield under your control.
When Fool's Demise is put into a graveyard from the battlefield, return Fool's Demise to its owner's hand."; "• If Fool's Demise and the enchanted creature go to the graveyard from the battlefield at the same time, both abilities will trigger."
2x; Krovikan Whispers; Coldsnap; ; 4; 3U; 2; 0; 0; U; 0.63936; Enchantment - Aura; "Enchant creature
Cumulative upkeep {U} or {B} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
You control enchanted creature.
When Krovikan Whispers is put into a graveyard from the battlefield, you lose 2 life for each age counter on it."; ""
1x; Controvert; Coldsnap; ; 4; 2UU; 1; 0; 0; U; 0.31968; Instant; "Counter target spell.
Recover {2}{U}{U} (When a creature is put into your graveyard from the battlefield, you may pay {2}{U}{U}. If you do, return this card from your graveyard to your hand. Otherwise, exile this card.)"; ""
1x; Jace's Ingenuity; Magic 2015; ; 5; 3UU; 1; 0; 0; U; 0.31968; Instant; "Draw three cards."; ""
1x; Second Sight; Darksteel; ; 3; 2U; 1; 0; 0; U; 0.31968; Instant; "Choose one -
 Look at the top five cards of target opponent's library, then put them back in any order.
 Look at the top five cards of your library, then put them back in any order.
Entwine {U} (Choose both if you pay the entwine cost.)"; ""
1x; Truth or Tale; Time Spiral; ; 2; 1U; 1; 0; 0; U; 0.31968; Instant; "Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put a card from the chosen pile into your hand, then put all other cards revealed this way on the bottom of your library in any order."; "• Here's how this works: Step 1: You reveal the top five cards of your library. Step 2: You separate those cards into two piles. (A pile can have zero cards.) Step 3: An opponent of your choice chooses one of those piles. Step 4: You choose one of the cards in the chosen pile. Step 5: You put the chosen card in your hand. Step 6: You put all other revealed cards (from both piles) on the bottom of your library in any order."
1x; Call to Mind; Commander 2014; ; 3; 2U; 1; 0; 0; U; 0.31968; Sorcery; "Return target instant or sorcery card from your graveyard to your hand."; ""
1x; Fascination; Fate Reforged; ; 2; XUU; 1; 0; 0; U; 0.31968; Sorcery; "Choose one -
 Each player draws X cards.
 Each player puts the top X cards of their library into their graveyard."; ""
1x; Sleep; Magic 2010; ; 4; 2UU; 1; 0; 0; U; 0.31968; Sorcery; "Tap all creatures target player controls. Those creatures don't untap during that player's next untap step."; "• The second part of Sleep's ability affects all creatures the targeted player controls as Sleep resolves, not only the ones that Sleep actually caused to become tapped."
1x; Dunerider Outlaw; Planar Chaos; ; 2; BB; 1; 1; 1; U; 0.31968; Creature - Human Rebel Rogue; "Protection from green
At the beginning of each end step, if Dunerider Outlaw dealt damage to an opponent this turn, put a +1/+1 counter on it."; "• If it damages the opponent multiple times in a turn, it gets only one +1/+1 counter at end of turn.
• Dunerider Outlaw gets a maximum of one +1/+1 counter at end of turn, no matter how many times it may have dealt damage to an opponent.
• Dunerider Outlaw's triggered ability checks to see if it dealt damage during the turn to an opponent of its current controller. If it dealt damage to player A, then player A takes control of it, the ability doesn't trigger.
• If Dunerider Outlaw dealt damage to an opponent of its current controller during the turn and that opponent is no longer in the game at end of turn, the ability will still trigger and the Outlaw will still get a +1/+1 counter.
• This is the timeshifted version of Whirling Dervish."
1x; Falkenrath Noble; Innistrad; ; 4; 3B; 1; 2; 2; U; 0.31968; Creature - Vampire; "Flying
Whenever Falkenrath Noble or another creature dies, target player loses 1 life and you gain 1 life."; "• If Falkenrath Noble and another creature die at the same time, Falkenrath Noble's triggered ability will trigger for each of them."
1x; Muck Drubb; Planar Chaos; ; 5; 3BB; 1; 3; 3; U; 0.31968; Creature - Beast; "Flash (You may cast this spell any time you could cast an instant.)
When Muck Drubb enters the battlefield, change the target of target spell that targets only a single creature to Muck Drubb.
Madness {2}{B} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)"; "• The spell's target is changed to Muck Drubb only if Muck Drubb is a legal target for that spell.
• If a spell targets multiple things, you can't target it with Muck Drubb's ability, even if only one of those targets is a creature or all but one of those targets has become illegal.
• If a spell has multiple targets, but it's targeting the same thing with all of them (such as Seeds of Strength targeting the same creature three times), you can target that spell with Muck Drubb's ability. In that case, you change all of those targets to Muck Drubb."
1x; Nekrataal; Commander 2014; ; 4; 2BB; 1; 1; 2; U; 0.31968; Creature - Human Assassin; "First strike
When Nekrataal enters the battlefield, destroy target nonartifact, nonblack creature. That creature can't be regenerated."; "• Nothing happens if there are no nonartifact, nonblack creatures on the battlefield when Nekrataal enters the battlefield, but if there is one, you must target it, even if it's a creature you control."
1x; Onyx Mage; Magic 2012; ; 2; 1B; 1; 1; 2; U; 0.31968; Creature - Human Wizard; "{1}{B}: Target creature you control gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy it.)"; "• Multiple instances of deathtouch on the same creature provide no additional benefit. A creature dealt damage by a creature with multiple instances of deathtouch is destroyed only once."
1x; Rakshasa Gravecaller; Dragons of Tarkir; ; 5; 4B; 1; 6; 3; U; 0.31968; Creature - Cat Demon; "Exploit (When this creature enters the battlefield, you may sacrifice a creature.)
When Rakshasa Gravecaller exploits a creature, create two 2/2 black Zombie creature tokens."; "• A creature with exploit exploits a creature when the controller of the exploit ability sacrifices a creature as that ability resolves.
• You choose whether to sacrifice a creature and which creature to sacrifice as the exploit ability resolves.
• You can sacrifice the creature with exploit if it's still on the battlefield. This will cause its other ability to trigger.
• If the creature with exploit isn't on the battlefield as the exploit ability resolves, you won't get any bonus from the creature with exploit, even if you sacrifice a creature. Because the creature with exploit isn't on the battlefield, its other triggered ability won't trigger.
• You can't sacrifice more than one creature to any one exploit ability."
1x; Thrull Surgeon; Tenth Edition; ; 2; 1B; 1; 1; 1; U; 0.31968; Creature - Thrull; "{1}{B}, Sacrifice Thrull Surgeon: Look at target player's hand and choose a card from it. That player discards that card. Activate this ability only any time you could cast a sorcery."; ""
1x; Tresserhorn Skyknight; Coldsnap; ; 7; 5BB; 1; 3; 5; U; 0.31968; Creature - Zombie Knight; "Flying
Prevent all damage that would be dealt to Tresserhorn Skyknight by creatures with first strike."; "• Damage that would be dealt to Tresserhorn Skyknight by creatures with double strike is dealt as normal.
• All damage (not just combat damage and not just first-strike combat damage) that would be dealt to Tresserhorn Skyknight by creatures with first strike is prevented."
1x; Wall of Limbs; Magic 2015; ; 3; 2B; 1; 3; 0; U; 0.31968; Creature - Zombie Wall; "Defender (This creature can't attack.)
Whenever you gain life, put a +1/+1 counter on Wall of Limbs.
{5}{B}{B}, Sacrifice Wall of Limbs: Target player loses X life, where X is Wall of Limbs's power."; "• The ability triggers just once for each life-gaining event, whether it's 1 life from Soulmender or 8 life from Meditation Puzzle.
• Use Wall of Limbs's power as it last existed on the battlefield, including any +1/+1 counters it had, to determine the value of X.
• If you gain life at the same time Wall of Limbs is dealt lethal damage (probably because you control a blocking creature with lifelink), Wall of Limbs's triggered ability will trigger, but Wall of Limbs will be destroyed before the ability resolves."
1x; Feast on the Fallen; Magic 2015; ; 3; 2B; 1; 0; 0; U; 0.31968; Enchantment; "At the beginning of each upkeep, if an opponent lost life last turn, put a +1/+1 counter on target creature you control."; "• Damage dealt to an opponent causes that player to lose that much life.
• Feast on the Fallen looks at the entire previous turn to determine whether its ability triggers or not. It doesn't matter whether Feast on the Fallen was on the battlefield when the opponent lost life.
• Feast on the Fallen checks only if an opponent lost life during the turn, not whether that player's life total decreased over the course of the turn. For example, if an opponent lost 2 life and then gained 8 life last turn, Feast on the Fallen's ability will trigger.
• Only one +1/+1 counter will be put on the target creature no matter how much life was lost."
1x; Screams from Within; Darksteel; ; 3; 1BB; 1; 0; 0; U; 0.31968; Enchantment - Aura; "Enchant creature
Enchanted creature gets -1/-1.
When enchanted creature dies, return Screams from Within from your graveyard to the battlefield."; "• If another player has gained control of Screams from Within, its triggered ability does nothing when it's put into a graveyard. Cards are always put into their owner's graveyard, but Screams from Within's ability looks for the card only in its controller's graveyard.
• If Screams from Within returns to the battlefield from your graveyard, you choose the creature that Screams from Within enchants (just as you would for any Aura that you're putting onto the battlefield without casting it). If your opponent doesn't control any creatures, you must choose one of your creatures. If there's nothing at all that Screams from Within can enchant, it remains in your graveyard."
1x; Shadows of the Past; Magic Origins; ; 2; 1B; 1; 0; 0; U; 0.31968; Enchantment; "Whenever a creature dies, scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
{4}{B}: Each opponent loses 2 life and you gain 2 life. Activate this ability only if there are four or more creature cards in your graveyard."; "• Once you legally activate the last ability, it doesn't matter how many creature cards are in your graveyard as it resolves."
1x; Nightcreep; Dissension; ; 2; BB; 1; 0; 0; U; 0.31968; Instant; "Until end of turn, all creatures become black and all lands become Swamps."; "• This effect overwrites all creatures' colors. Creatures will be black instead of any other color or colors.
• This effect overwrites all lands' land types. Lands will be Swamps instead of any other land types. This won't affect a land's supertypes (such as basic or legendary). Lands will lose their normal abilities and have the ability {T}: Add {B} instead.
• If a permanent is both a creature and a land, Nightcreep replaces all of its land types with Swamp, but it doesn't affect its creature types. The creature land loses all abilities generated by its rules text and its previous land types but retains any abilities granted to it by other effects. For example, an animated Blinkmoth Nexus becomes a black creature land with the land subtype Swamp whose only abilities are flying and {T}: Add {B}.
• A land or creature that enters the battlefield after Nightcreep resolves won't be affected by it."
1x; Skeletal Scrying; Commander 2014; ; 1; XB; 1; 0; 0; U; 0.31968; Instant; "As an additional cost to cast this spell, exile X cards from your graveyard.
You draw X cards and you lose X life."; ""
1x; Tendrils of Corruption; Commander 2014; ; 4; 3B; 1; 0; 0; C; 0.31968; Instant; "Tendrils of Corruption deals X damage to target creature and you gain X life, where X is the number of Swamps you control."; "• The amount of life you gain is equal to the number of Swamps you control, not the amount of damage Tendrils of Corruption deals (in case some of it is prevented).
• If the targeted creature is an illegal target by the time Tendrils of Corruption would resolve, the entire spell doesn't resolve. You won't gain any life."
2x; Ultimate Price; Return to Ravnica; ; 2; 1B; 2; 0; 0; U; 0.63936; Instant; "Destroy target monocolored creature."; "• A monocolored creature has exactly one color.
• Face-down creatures and most artifact creatures are not monocolored."
1x; Phthisis; Time Spiral; ; 7; 3BBBB; 1; 0; 0; U; 0.31968; Sorcery; "Destroy target creature. Its controller loses life equal to its power plus its toughness.
Suspend 5-{1}{B} (Rather than cast this card from your hand, you may pay {1}{B} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)"; "• You can exile a card in your hand using suspend any time you could cast that card. Consider its card type, any effect that affects when you could cast it (such as flash) and any other effects that could stop you from casting it (such as Meddling Mage's effect) to determine if and when you can do this. Whether or not you could actually complete all steps in casting the card is irrelevant. For example, you can exile a card with suspend that has no mana cost or requires a target even if no legal targets are available at that time.
• Exiling a card with suspend isn't casting that card. This action doesn't use the stack and can't be responded to.
• If the spell requires any targets, those targets are chosen when the spell is finally cast, not when it's exiled.
• If the first triggered ability of suspend (the one that removes time counters) is countered, no time counter is removed. The ability will trigger again during the card's owner's next upkeep.
• When the last time counter is removed, the second triggered ability of suspend will trigger. It doesn't matter why the last time counter was removed or what effect removed it.
• If the second triggered ability of suspend (the one that lets you cast the card) is countered, the card can't be cast. It remains exiled with no time counters on it, and it's no longer suspended.
• As the second triggered ability resolves, you must cast the card if able. Timing restrictions based on the card's type are ignored.
• If you can't cast the card, perhaps because there are no legal targets available, it remains exiled with no time counters on it, and it's no longer suspended.
• If the spell has any mandatory additional costs, you must pay those if able. However, if an additional cost includes a mana payment, you are forced to pay that cost only if there's enough mana in your mana pool at the time you cast the spell. You aren't forced to activate any mana abilities, although you may do so if you wish.
• A creature cast using suspend will enter the battlefield with haste. It will have haste until another player gains control of it (or, in some rare cases, gains control of the creature spell itself).
• If the creature's power is less than 0, use its actual value to determine the total life loss. However, if this total is 0 or less, no life is lost. For example, if Phthisis destroys a -2/3 creature, its controller would lose 1 life. If it destroys a -4/3 creature, its controller would lose no life."
1x; Stronghold Discipline; Tenth Edition; ; 4; 2BB; 1; 0; 0; U; 0.31968; Sorcery; "Each player loses 1 life for each creature they control."; ""
2x; Beetleback Chief; Duel Decks: Speed vs. Cunning; ; 4; 2RR; 2; 2; 2; U; 0.63936; Creature - Goblin Warrior; "When Beetleback Chief enters the battlefield, create two 1/1 red Goblin creature tokens."; ""
1x; Fallen Ferromancer; New Phyrexia; ; 4; 3R; 1; 1; 1; U; 0.31968; Creature - Human Shaman; "Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
{1}{R}, {T}: Fallen Ferromancer deals 1 damage to any target."; "• If Fallen Ferromancer's ability deals 1 damage to a creature, that damage will cause a -1/-1 counter to be placed on the creature. If it deals 1 damage to a player, that player gets a poison counter."
1x; Humble Defector; Fate Reforged; ; 2; 1R; 1; 1; 2; U; 0.31968; Creature - Human Rogue; "{T}: Draw two cards. Target opponent gains control of Humble Defector. Activate this ability only during your turn."; "• Humble Defector's ability can be activated any time during your turn, including in response to a spell or ability.
• If Humble Defector isn't on the battlefield as its ability resolves, but the target player is still a legal target, the ability will resolve. You'll draw two cards, even though the player won't gain control of Humble Defector.
• If Humble Defector is controlled by a player other than its owner, and its controller leaves the game, the effect giving that player control of Humble Defector ends. Humble Defector will return to the control of the player still in the game who most recently controlled it.
• If Humble Defector's owner leaves the game, Humble Defector not-so-humbly leaves the game along with that player."
1x; Mindclaw Shaman; Magic 2013; ; 5; 4R; 1; 2; 2; U; 0.31968; Creature - Viashino Shaman; "When Mindclaw Shaman enters the battlefield, target opponent reveals their hand. You may cast an instant or sorcery card from it without paying its mana cost."; "• Any player can respond to Mindclaw Shaman's triggered ability. However, once that ability starts resolving and the target opponent reveals their hand, players can't respond until after the ability finishes resolving. For example, the opponent can't cast the instant or sorcery card you choose to cast in order to stop you from casting it.
• You cast the card from the opponent's hand immediately. Ignore timing restrictions based on the card's type. Other timing restrictions, such as Cast [this card] only during combat, must be followed.
• The card goes to its owner's graveyard after it resolves (or otherwise leaves the stack), not yours.
• If you can't cast any instant or sorcery card (perhaps because there are no legal targets available) or if you choose not to cast one, then Mindclaw Shaman's ability finishes resolving and the game moves on.
• If you cast a card without paying its mana cost, you can't pay any alternative costs. You can pay additional costs such as kicker costs. If the card has mandatory additional costs, you must pay those.
• If the card has X in its mana cost, you must choose 0 as its value."
2x; Shockmaw Dragon; Fate Reforged; ; 6; 4RR; 2; 4; 4; U; 0.63936; Creature - Dragon; "Flying
Whenever Shockmaw Dragon deals combat damage to a player, it deals 1 damage to each creature that player controls."; ""
1x; Spitebellows; Commander 2013 Edition; ; 6; 5R; 1; 1; 6; U; 0.31968; Creature - Elemental; "When Spitebellows leaves the battlefield, it deals 6 damage to target creature.
Evoke {1}{R}{R} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"; "• Evoke doesn't change the timing of when you can cast the creature that has it. If you could cast that creature spell only when you could cast a sorcery, the same is true for cast it with evoke.
• If a creature spell cast with evoke changes controllers before it enters the battlefield, it will still be sacrificed when it enters the battlefield. Similarly, if a creature cast with evoke changes controllers after it enters the battlefield but before its sacrifice ability resolves, it will still be sacrificed. In both cases, the controller of the creature at the time it left the battlefield will control its leaves-the-battlefield ability.
• When you cast a spell by paying its evoke cost, its mana cost doesn't change. You just pay the evoke cost instead.
• Effects that cause you to pay more or less to cast a spell will cause you to pay that much more or less while casting it for its evoke cost, too. That's because they affect the total cost of the spell, not its mana cost.
• Whether evoke's sacrifice ability triggers when the creature enters the battlefield depends on whether the spell's controller chose to pay the evoke cost, not whether they actually paid it (if it was reduced or otherwise altered by another ability, for example).
• If you're casting a spell without paying its mana cost, you can't use its evoke ability."
1x; Thick-Skinned Goblin; Time Spiral; ; 2; 1R; 1; 1; 2; U; 0.31968; Creature - Goblin Shaman; "You may pay {0} rather than pay the echo cost for permanents you control.
{R}: Thick-Skinned Goblin gains protection from red until end of turn."; "• When an echo ability you control resolves, you have three options: pay the echo cost, pay {0}, or sacrifice the permanent."
1x; Thundering Giant; Tenth Edition; ; 5; 3RR; 1; 3; 4; U; 0.31968; Creature - Giant; "Haste (This creature can attack and {T} as soon as it comes under your control.)"; ""
1x; Wall of Fire; Tenth Edition; ; 3; 1RR; 1; 5; 0; U; 0.31968; Creature - Wall; "Defender (This creature can't attack.)
{R}: Wall of Fire gets +1/+0 until end of turn."; ""
1x; Curse of Chaos; Commander 2013 Edition; ; 3; 2R; 1; 0; 0; U; 0.31968; Enchantment - Aura Curse; "Enchant player
Whenever a player attacks enchanted player with one or more creatures, that attacking player may discard a card. If the player does, they draw a card."; "• A Curse spell targets the player it will enchant like any other Aura spell, and a Curse stays on the battlefield like any other Aura. If the enchanted player gains protection from the Curse's color (or any other characteristic the Curse has), the Curse will be put into its owner's graveyard.
• Each of the Curses can be attached to any player, including the player who cast the Curse.
• Curse is an enchantment type, not a creature type (or any other kind of subtype).
• The ability won't trigger when a creature attacks a planeswalker controlled by the enchanted player.
• The Curse subtype has no inherent rules meaning, but two cards in the Innistrad set (Bitterheart Witch and Witchbane Orb) refer to Curses.
• Curse of Chaos's ability will trigger only once per attacking player per combat phase, no matter how many creatures that player attacks with."
1x; Goblinslide; Khans of Tarkir; ; 3; 2R; 1; 0; 0; U; 0.31968; Enchantment; "Whenever you cast a noncreature spell, you may pay {1}. If you do, create a 1/1 red Goblin creature token with haste."; "• You make the decision whether to pay {1} as the ability resolves."
1x; Feedback Bolt; Fifth Dawn; ; 5; 4R; 1; 0; 0; U; 0.31968; Instant; "Feedback Bolt deals damage to target player or planeswalker equal to the number of artifacts you control."; ""
1x; Ignorant Bliss; Dissension; ; 2; 1R; 1; 0; 0; U; 0.31968; Instant; "Exile all cards from your hand face down. At the beginning of the next end step, return those cards to your hand, then draw a card."; "• No player may look at the cards while they're face down.
• If you cast this during the End step, you won't return the cards to your hand or draw a card until the next turn's End step.
• If the delayed triggered ability is countered (for example, with Voidslime), the cards remain exiled forever."
1x; Ravaging Blaze; Magic Origins; ; 2; XRR; 1; 0; 0; U; 0.31968; Instant; "Ravaging Blaze deals X damage to target creature. 
Spell mastery - If there are two or more instant and/or sorcery cards in your graveyard, Ravaging Blaze also deals X damage to that creature's controller."; "• Ravaging Blaze targets only the creature. It doesn't target any player, even if the spell mastery ability applies.
• If the creature becomes an illegal target by the time Ravaging Blaze tries to resolve, Ravaging Blaze won't resolve and none of its effects will happen. No damage will be dealt to the creature or its controller.
• Check to see if there are two or more instant and/or sorcery cards in your graveyard as the spell resolves to determine whether the spell mastery ability applies. The spell itself won't count because it's still on the stack as you make this check."
1x; Street Spasm; Commander 2013 Edition; ; 1; XR; 1; 0; 0; U; 0.31968; Instant; "Street Spasm deals X damage to target creature without flying you don't control.
Overload {X}{X}{R}{R} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of "target" with "each.")"; "• If you don't pay the overload cost of a spell, that spell will have a single target. If you pay the overload cost, the spell won't have any targets.
• Because a spell with overload doesn't target when its overload cost is paid, it may affect permanents with hexproof or with protection from the appropriate color.
• Note that if the spell with overload is dealing damage, protection from that spell's color will still prevent that damage.
• Overload doesn't change when you can cast the spell.
• Casting a spell with overload doesn't change that spell's mana cost. You just pay the overload cost instead.
• Effects that cause you to pay more or less for a spell will cause you to pay that much more or less while casting it for its overload cost, too.
• If you are instructed to cast a spell with overload without paying its mana cost, you can't choose to pay its overload cost instead."
1x; Sulfurous Blast; Time Spiral; ; 4; 2RR; 1; 0; 0; U; 0.31968; Instant; "Sulfurous Blast deals 2 damage to each creature and each player. If you cast this spell during your main phase, Sulfurous Blast deals 3 damage to each creature and each player instead."; ""
1x; Dismantle; Darksteel; ; 3; 2R; 1; 0; 0; U; 0.31968; Sorcery; "Destroy target artifact. If that artifact had counters on it, put that many +1/+1 counters or charge counters on an artifact you control."; "• Dismantle targets only the artifact that will be destroyed. When Dismantle resolves, you choose which type of counters you want and choose an artifact you control to put them on.
• It doesn't matter what kind of counters the destroyed artifact had on it, only how many. If an artifact had five bomb counters and two trap counters on it, that converts to seven +1/+1 counters or seven charge counters.
• You can put +1/+1 counters on a noncreature artifact. They won't do anything unless the artifact becomes a creature, at which time they'll add to the creature's power and toughness.
• If the artifact regenerates or has indestructible, it won't be destroyed, but you still put the appropriate number of counters onto an artifact you control."
1x; Fireball; Commander 2013 Edition; ; 1; XR; 1; 0; 0; U; 0.31968; Sorcery; "This spell costs {1} more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets."; "• For example, if X is 5 and you choose three target creatures, Fireball has a total cost of {7}{R} (even though its mana cost is just {5}{R} and its converted mana cost is 6). If those creatures are all still legal targets as Fireball resolves, it deals 1 damage to each of them.
• You may cast Fireball with zero targets, regardless of the value chosen for X. If you do so, it will not be a targeted spell, and no damage will actually be dealt when it resolves.
• Fireball's damage is divided as Fireball resolves, not as it's cast, because there are no choices involved. The division involves only targets that are still legal as Fireball resolves.
• You can target more than X creatures. However, if the number of legal targets at the time Fireball resolves is greater than X, none of them will be dealt any damage."
1x; Seismic Rupture; Dragons of Tarkir; ; 3; 2R; 1; 0; 0; U; 0.31968; Sorcery; "Seismic Rupture deals 2 damage to each creature without flying."; ""
1x; Ainok Survivalist; Dragons of Tarkir; ; 2; 1G; 1; 1; 2; U; 0.31968; Creature - Hound Shaman; "Megamorph {1}{G} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)
When Ainok Survivalist is turned face up, destroy target artifact or enchantment an opponent controls."; "• Turning a face-down creature with megamorph face up and putting a +1/+1 counter on it is a special action. It doesn't use the stack and can't be responded to.
• If a face-down creature with megamorph is turned face up some other way (for example, if you manifest a card with megamorph and then pay its mana cost to turn it face up), you won't put a +1/+1 counter on it.
• Megamorph is a variant of the morph ability. You can find more information on morph on cards with morph from the Khans of Tarkir set."
1x; Baloth Woodcrasher; Commander 2013 Edition; ; 6; 4GG; 1; 4; 4; U; 0.31968; Creature - Beast; "Landfall  Whenever a land enters the battlefield under your control, Baloth Woodcrasher gets +4/+4 and gains trample until end of turn."; "• The landfall ability triggers whenever a land enters the battlefield under your control for any reason. It triggers whenever you play a land, as well as whenever a spell or ability (such as Rampant Growth) causes you to put a land onto the battlefield under your control. It will even trigger when a spell or ability causes another player to put a land onto the battlefield under your control (as can happen with Yavimaya Dryad's ability, for example).
• When a land enters the battlefield under your control, each landfall ability of the permanents you control will trigger. You can put them on the stack in any order. The last ability you put on the stack will be the first one that resolves."
1x; Brutalizer Exarch; New Phyrexia; ; 6; 5G; 1; 3; 3; U; 0.31968; Creature - Cleric; "When Brutalizer Exarch enters the battlefield, choose one -
 Search your library for a creature card, reveal it, then shuffle your library and put that card on top of it.
 Put target noncreature permanent on the bottom of its owner's library."; ""
1x; Durkwood Tracker; Time Spiral; ; 5; 4G; 1; 3; 4; U; 0.31968; Creature - Giant; "{1}{G}, {T}: If Durkwood Tracker is on the battlefield, it deals damage equal to its power to target attacking creature. That creature deals damage equal to its power to Durkwood Tracker."; "• If Durkwood Tracker has left the battlefield before the ability resolves, the ability doesn't do anything. If the targeted creature has left the battlefield before the ability resolves, the ability doesn't resolve."
1x; Hedge Troll; Planar Chaos; ; 3; 2G; 1; 2; 2; U; 0.31968; Creature - Troll Cleric; "Hedge Troll gets +1/+1 as long as you control a Plains.
{W}: Regenerate Hedge Troll."; "• This is the timeshifted version of Sedge Troll."
1x; Krosan Tusker; Commander 2013 Edition; ; 7; 5GG; 1; 5; 6; C; 0.31968; Creature - Boar Beast; "Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)
When you cycle Krosan Tusker, you may search your library for a basic land card, reveal that card, put it into your hand, then shuffle your library. (Do this before you draw.)"; "• Cycling is an activated ability. Effects that interact with activated abilities (such as Stifle or Rings of Brighthearth) will interact with cycling. Effects that interact with spells (such as Remove Soul or Faerie Tauntings) will not.
• When you cycle this card, first the cycling ability goes on the stack, then the triggered ability goes on the stack on top of it. The triggered ability will resolve before you draw a card from the cycling ability.
• The cycling ability and the triggered ability are separate. If the triggered ability doesn't resolve (due to being countered with Stifle, for example, or if all its targets have become illegal), the cycling ability will still resolve and you'll draw a card."
1x; Mwonvuli Beast Tracker; Magic 2013; ; 3; 1GG; 1; 1; 2; U; 0.31968; Creature - Human Scout; "When Mwonvuli Beast Tracker enters the battlefield, search your library for a creature card with deathtouch, hexproof, reach, or trample and reveal it. Shuffle your library and put that card on top of it."; "• The creature card must have one of the listed abilities, not an ability that grants one of the listed abilities to the creature. For example, you couldn't put Prized Elephant, which has {G}: Prized Elephant gains trample until end of turn, on top of your library this way."
1x; Patagia Viper; Dissension; ; 4; 3G; 1; 1; 2; U; 0.31968; Creature - Snake; "Flying
When Patagia Viper enters the battlefield, create two 1/1 green and blue Snake creature tokens.
When Patagia Viper enters the battlefield, sacrifice it unless {U} was spent to cast it."; "• If this enters the battlefield in a way other than announcing it as a spell, then the appropriate mana can't have been paid, and you'll have to sacrifice it."
1x; Pendelhaven Elder; Time Spiral; ; 2; 1G; 1; 1; 1; U; 0.31968; Creature - Elf Shaman; "{T}: Each 1/1 creature you control gets +1/+2 until end of turn."; ""
1x; Pouncing Wurm; Planar Chaos; ; 4; 3G; 1; 3; 3; U; 0.31968; Creature - Wurm; "Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If Pouncing Wurm was kicked, it enters the battlefield with three +1/+1 counters on it and with haste."; "• If the Pouncing Wurm is kicked, Pouncing Wurm has haste permanently."
1x; Tangle Spider; Tenth Edition; ; 6; 4GG; 1; 4; 3; U; 0.31968; Creature - Spider; "Flash (You may cast this spell any time you could cast an instant.)
Reach (This creature can block creatures with flying.)"; ""
1x; Tanglewalker; Darksteel; ; 3; 2G; 1; 2; 2; U; 0.31968; Creature - Dryad; "Each creature you control can't be blocked as long as defending player controls an artifact land."; ""
1x; Lure; Tenth Edition; ; 3; 1GG; 1; 0; 0; U; 0.31968; Enchantment - Aura; "Enchant creature
All creatures able to block enchanted creature do so."; "• Lure doesn't give any creatures the ability to block the target creature. It just forces those creatures that are already able to block the creature to do so.
• As blockers are declared, any creature that's tapped or affected by a spell or ability that says it can't block doesn't block. If there's a cost associated with having the creature block, no player is forced to pay that cost, so it doesn't block if that cost isn't paid."
1x; Raised by Wolves; Born of the Gods; ; 5; 3GG; 1; 0; 0; U; 0.31968; Enchantment - Aura; "Enchant creature
When Raised by Wolves enters the battlefield, create two 2/2 green Wolf creature tokens.
Enchanted creature gets +1/+1 for each Wolf you control."; ""
